region_group,indicator_name,year,mean_value
Afrique,GDP_Growth_pct,2000,2.4242233938043496
Afrique,GDP_Growth_pct,2001,2.527349120326858
Afrique,GDP_Growth_pct,2002,1.2170807187136963
Afrique,GDP_Growth_pct,2003,2.3899271009213576
Afrique,GDP_Growth_pct,2004,4.617438367375333
Afrique,GDP_Growth_pct,2005,4.47800519251148
Afrique,GDP_Growth_pct,2006,4.724512588223947
Afrique,GDP_Growth_pct,2007,4.0973143795197515
Afrique,GDP_Growth_pct,2008,4.211792122428202
Afrique,GDP_Growth_pct,2009,2.593752756805376
Afrique,GDP_Growth_pct,2010,5.84737141542741
Afrique,GDP_Growth_pct,2011,3.660085963643094
Afrique,GDP_Growth_pct,2012,5.576221744165766
Afrique,GDP_Growth_pct,2013,5.353687964960824
Afrique,GDP_Growth_pct,2014,4.977250399637041
Afrique,GDP_Growth_pct,2015,4.394467156101008
Afrique,GDP_Growth_pct,2016,4.356072667411403
Afrique,GDP_Growth_pct,2017,5.588609723740092
Afrique,GDP_Growth_pct,2018,4.891439005672886
Afrique,GDP_Growth_pct,2019,4.64337380036328
Afrique,GDP_Growth_pct,2020,-0.7771880010648434
Afrique,GDP_Growth_pct,2021,6.226586952193386
Afrique,GDP_Growth_pct,2022,4.1946566067773094
Afrique,GDP_Growth_pct,2023,4.10472384915602
Afrique,GDP_Growth_pct,2024,4.586024841265912
Afrique,GDP_USD,2000,38406335374.23513
Afrique,GDP_USD,2001,35409829615.18957
Afrique,GDP_USD,2002,34692455399.884575
Afrique,GDP_USD,2003,49915336483.56388
Afrique,GDP_USD,2004,62874211188.62242
Afrique,GDP_USD,2005,70679126646.36623
Afrique,GDP_USD,2006,77509711350.20062
Afrique,GDP_USD,2007,86523392188.13705
Afrique,GDP_USD,2008,86327605021.2071
Afrique,GDP_USD,2009,89636535862.1428
Afrique,GDP_USD,2010,109204943464.22832
Afrique,GDP_USD,2011,119782726100.54251
Afrique,GDP_USD,2012,117206424821.43277
Afrique,GDP_USD,2013,117416415834.54594
Afrique,GDP_USD,2014,114560691830.05582
Afrique,GDP_USD,2015,105971363090.26476
Afrique,GDP_USD,2016,104398581321.24718
Afrique,GDP_USD,2017,119475928381.17209
Afrique,GDP_USD,2018,129272447437.2478
Afrique,GDP_USD,2019,128369597673.45732
Afrique,GDP_USD,2020,119239754172.32776
Afrique,GDP_USD,2021,141903913758.858
Afrique,GDP_USD,2022,138934036293.41895
Afrique,GDP_USD,2023,136193079983.91528
Afrique,GDP_USD,2024,144742780483.24176
Afrique,GDP_per_capita_USD,2000,1085.2179879245632
Afrique,GDP_per_capita_USD,2001,1016.6670707909074
Afrique,GDP_per_capita_USD,2002,1005.1762204712765
Afrique,GDP_per_capita_USD,2003,1358.5149347424615
Afrique,GDP_per_capita_USD,2004,1641.837109750902
Afrique,GDP_per_capita_USD,2005,1803.3074252380964
Afrique,GDP_per_capita_USD,2006,1986.2517735906335
Afrique,GDP_per_capita_USD,2007,2207.7316739273347
Afrique,GDP_per_capita_USD,2008,2253.143911538824
